1	507454	497504
2	487937	478731
3	507454	478731
4	478731	497504
5	478731	497504
6	487937	487937
7	497504	487937
8	487937	487937
9	487937	469865
10	478731	453084
11	469865	478731
12	487937	461322
13	487937	469865
14	469865	461322
15	469865	469865
16	469865	461322
17	461322	453084
18	469865	461322
19	469865	469865
20	461322	461322
21	453084	461322
22	461322	453084
23	445135	445135
24	453084	461322
25	453084	453084
26	453084	461322
27	453084	453084
28	453084	453084
29	445135	415946
30	445135	430046
31	453084	415946
32	453084	415946
33	453084	422879
34	461322	402742
35	461322	422879
36	469865	415946
37	453084	402742
38	453084	409237
39	453084	453084
40	445135	453084
41	453084	453084
42	453084	453084
43	453084	445135
44	445135	461322
45	445135	445135
46	437461	453084
47	461322	453084
48	461322	453084
49	453084	445135
50	445135	437461
51	453084	445135
52	461322	453084
53	437461	453084
54	453084	437461
55	445135	453084
56	453084	453084
57	437461	437461
58	437461	453084
59	453084	437461
60	437461	445135
61	453084	445135
62	453084	437461
63	453084	445135
64	437461	422879
