35	498178	166059
36	498178	142336
37	498178	142336
38	498178	142336
39	498178	142336
40	332118	142336
41	498178	142336
42	498178	166059
43	498178	166059
44	332118	142336
45	498178	166059
46	498178	142336
47	498178	142336
48	332118	142336
49	498178	142336
50	498178	166059
51	332118	166059
52	498178	166059
53	332118	166059
54	332118	166059
55	332118	166059
56	332118	142336
57	332118	142336
58	332118	142336
59	332118	166059
60	249089	142336
61	332118	142336
62	498178	166059
63	498178	142336
64	332118	142336
